Station Name,Station Latitude,Station Longitude,Bubble Tea Shop Name,Rating,Business Latitude,Business Longitude
Hornby & Pender,49.28537,-123.11709,Presotea,3.0,49.2846614799521,-123.116223519244
Hornby & Pender,49.2844898190478,-123.11441326495552,CoCo Fresh Tea & Juice,4.0,49.2844898190478,-123.11441326495552
Hornby & Pender,49.2844898190478,-123.11441326495552,Sharetea,4.0,49.2834699,-123.1144227
Hornby & Pender,49.2844898190478,-123.11441326495552,Gong Cha,4.0,49.2838435,-123.11335923808556
Hornby & Pender,49.2844898190478,-123.11441326495552,Boba Run,4.5,49.2819027,-123.1074516
Hornby & Pender,49.2844898190478,-123.11441326495552,Xing Fu Tang,3.5,49.2833513,-123.1163056
Hornby & Pender,49.2853174845926,-123.11710665093,Deer Alley Restaurant,4.5,49.28537,-123.11709
Hornby & Pender,49.2853174845926,-123.11710665093,Bubble Waffle Cafe,4.5,49.2853174845926,-123.11710665093
Hornby & Pender,49.2853174845926,-123.11710665093,CoCo Fresh Tea & Juice,4.0,49.2844898190478,-123.11441326495552
Hornby & Pender,49.2853174845926,-123.11710665093,Presotea,3.0,49.2846614799521,-123.116223519244
Hornby & Pender,49.2853174845926,-123.11710665093,Xing Fu Tang,3.5,49.2833513,-123.1163056
Hornby & Pender,49.2833513,-123.1163056,Xing Fu Tang,3.5,49.2833513,-123.1163056
Hornby & Pender,49.2833513,-123.1163056,CoCo Fresh Tea & Juice,4.0,49.2844898190478,-123.11441326495552
Hornby & Pender,49.2833513,-123.1163056,Sharetea,4.0,49.2834699,-123.1144227
Hornby & Pender,49.2833513,-123.1163056,Deer Alley Restaurant,4.5,49.28537,-123.11709
Hornby & Pender,49.2833513,-123.1163056,Presotea,3.0,49.2846614799521,-123.116223519244
Hornby & Pender,49.2846614799521,-123.116223519244,Presotea,3.0,49.2846614799521,-123.116223519244
Hornby & Pender,49.2846614799521,-123.116223519244,CoCo Fresh Tea & Juice,4.0,49.2844898190478,-123.11441326495552
Hornby & Pender,49.2846614799521,-123.116223519244,Xing Fu Tang,3.5,49.2833513,-123.1163056
Hornby & Pender,49.2846614799521,-123.116223519244,Deer Alley Restaurant,4.5,49.28537,-123.11709
Hornby & Pender,49.2846614799521,-123.116223519244,Bubble Waffle Cafe,4.5,49.2853174845926,-123.11710665093
Homer & Robson (Vancouver Public Library),49.2792027,-123.1167521,Gong Cha,3.0,49.2792027,-123.1167521
Homer & Robson (Vancouver Public Library),49.2792027,-123.1167521,Jenjudan Yaletown,4.0,49.27833,-123.11621
Homer & Robson (Vancouver Public Library),49.2792027,-123.1167521,Gong cha,5.0,49.27905,-123.11695
Homer & Robson (Vancouver Public Library),49.2792027,-123.1167521,Ikoi cha,2.5,49.27905,-123.11695
Homer & Robson (Vancouver Public Library),49.2792027,-123.1167521,Little Bee Bubble Tea,4.5,49.2796047821947,-123.11541583389
Homer & Robson (Vancouver Public Library),49.27833,-123.11621,Jenjudan Yaletown,4.0,49.27833,-123.11621
Homer & Robson (Vancouver Public Library),49.27833,-123.11621,Gong Cha,3.0,49.2792027,-123.1167521
Homer & Robson (Vancouver Public Library),49.27833,-123.11621,Little Bee Bubble Tea,4.5,49.2796047821947,-123.11541583389
Homer & Robson (Vancouver Public Library),49.27833,-123.11621,Gong cha,5.0,49.27905,-123.11695
Homer & Robson (Vancouver Public Library),49.27833,-123.11621,Cha Yuan,4.5,49.27402,-123.12243
Homer & Robson (Vancouver Public Library),49.2796047821947,-123.11541583389,Little Bee Bubble Tea,4.5,49.2796047821947,-123.11541583389
Homer & Robson (Vancouver Public Library),49.2796047821947,-123.11541583389,Jenjudan Yaletown,4.0,49.27833,-123.11621
Homer & Robson (Vancouver Public Library),49.2796047821947,-123.11541583389,Gong Cha,3.0,49.2792027,-123.1167521
Homer & Robson (Vancouver Public Library),49.2796047821947,-123.11541583389,Charisma Cafe & Dessert House,4.0,49.28018,-123.10866
Homer & Robson (Vancouver Public Library),49.2796047821947,-123.11541583389,Ben Gong’s Tea,2.5,49.27959441559469,-123.1155470929707
Homer & Robson (Vancouver Public Library),49.28030775449333,-123.11842527240516,Atelier by Chatime,3.5,49.28030775449333,-123.11842527240516
Homer & Robson (Vancouver Public Library),49.28030775449333,-123.11842527240516,Teaspoons & Company,4.5,49.279506,-123.1243488
Homer & Robson (Vancouver Public Library),49.28030775449333,-123.11842527240516,Gong Cha,3.0,49.2792027,-123.1167521
Homer & Robson (Vancouver Public Library),49.28030775449333,-123.11842527240516,Jenjudan Yaletown,4.0,49.27833,-123.11621
Homer & Robson (Vancouver Public Library),49.28030775449333,-123.11842527240516,CoCo Fresh Tea & Juice,4.0,49.2844898190478,-123.11441326495552
Homer & Robson (Vancouver Public Library),49.27905,-123.11695,Gong Cha,3.0,49.2792027,-123.1167521
Homer & Robson (Vancouver Public Library),49.27905,-123.11695,Jenjudan Yaletown,4.0,49.27833,-123.11621
Homer & Robson (Vancouver Public Library),49.27905,-123.11695,Gong cha,5.0,49.27905,-123.11695
