Station Name,Bubble Tea Shop Name,Rating,Latitude,Longitude
22nd & Cambie,Xing Fu Tang,N/A,N/A,N/A
22nd & Cambie,Yifang Taiwan Fruit Tea,N/A,N/A,N/A
22nd & Cambie,TTOB Bubble Tea,N/A,N/A,N/A
22nd & Cambie,Ben Gong’s Tea,N/A,N/A,N/A
22nd & Cambie,Hot Cha Cafe,N/A,N/A,N/A
King Edward & Cambie,Yifang Taiwan Fruit Tea,N/A,N/A,N/A
Cardero & Robson,The Bubble Tea Shop,N/A,N/A,N/A
Cardero & Robson,Chatime,N/A,N/A,N/A
Cardero & Robson,Kumme Cafe,N/A,N/A,N/A
Cardero & Robson,Weather Tea,N/A,N/A,N/A
Cardero & Robson,45 Degree Bubble Tea House,N/A,N/A,N/A
Hornby & Drake,Yet’s Cafe,N/A,N/A,N/A
Hornby & Drake,Chabann Kurotaki,N/A,N/A,N/A
Hornby & Drake,Passion Tearoom,N/A,N/A,N/A
Cardero & Bayshore,The Bubble Tea Shop,N/A,N/A,N/A
Cardero & Bayshore,45 Degree Bubble Tea House,N/A,N/A,N/A
Cardero & Bayshore,Kumme Cafe,N/A,N/A,N/A
Cardero & Bayshore,Weather Tea,N/A,N/A,N/A
Cordova & Granville,Coco Fresh Tea & Juice,N/A,N/A,N/A
Cordova & Granville,Teaever Bubble Tea,N/A,N/A,N/A
Cordova & Granville,Gong Cha West Pender,N/A,N/A,N/A
Cordova & Granville,Chatime,N/A,N/A,N/A
Cordova & Granville,Chatime,N/A,N/A,N/A
